primaryTitle,startYear,genres,averageRating,numVotes
Wanted - A Film Actress,1917,Comedy,5.9,246
Tillie Wakes Up,1917,Comedy,5.0,507
Tom Jones,1917,Comedy,8.8,11
Tom Sawyer,1917,"Adventure,Comedy,Drama",6.1,199
Twin Kiddies,1917,"Comedy,Drama",6.3,24
Wild and Woolly,1917,"Comedy,Romance,Western",6.4,679
The Accidental Honeymoon,1918,"Comedy,Drama",7.0,13
The Adventure Shop,1919,"Adventure,Comedy,Crime",2.5,24
All Night,1918,"Comedy,Drama",6.0,112
Amarilly of Clothes-Line Alley,1918,"Comedy,Romance",6.2,826
Arizona,1918,"Comedy,Drama,Romance",5.4,28
Back to the Woods,1918,"Comedy,Drama",7.2,14
Beans,1918,"Comedy,Thriller",6.0,24
"Believe Me, Xantippe",1918,"Comedy,Romance,Western",5.0,15
The Beloved Blackmailer,1918,"Comedy,Romance",6.8,62
Betty Takes a Hand,1918,"Comedy,Drama",7.7,28
Bound in Morocco,1918,"Action,Comedy,Romance",6.0,26
Branding Broadway,1918,"Comedy,Romance,Western",6.7,34
The Danger Game,1918,Comedy,6.9,27
Dodging a Million,1918,Comedy,7.8,39
The Dream Lady,1918,"Comedy,Romance",6.4,149
Eve's Daughter,1918,"Comedy,Drama",7.8,14
The Eyes of Julia Deep,1918,"Comedy,Drama",6.5,52
The Merry Jail,1917,Comedy,6.1,649
The Floor Below,1918,"Comedy,Drama",6.3,61
The Goat,1918,Comedy,7.8,14
The Gulf Between,1917,"Comedy,Drama",6.2,30
He Comes Up Smiling,1918,"Adventure,Comedy,Romance",6.1,68
"How Could You, Jean?",1918,"Comedy,Drama",7.6,14
Huck and Tom,1918,"Comedy,Drama",6.7,34
I'll Say So,1918,"Comedy,War",4.1,16
In Pursuit of Polly,1918,"Comedy,Drama",7.6,16
Joan of Plattsburg,1918,"Comedy,Drama",6.0,46
Johanna Enlists,1918,"Comedy,Romance",5.9,670
The Kid Is Clever,1918,"Adventure,Comedy",6.0,18
Laughing Bill Hyde,1918,"Adventure,Comedy",5.7,22
Lili,1918,Comedy,7.2,26
Little Miss Hoover,1918,"Comedy,Romance",5.4,38
M'Liss,1918,"Comedy,Drama",6.5,171
The Make-Believe Wife,1918,Comedy,6.5,21
The Mask,1918,"Comedy,Drama",6.2,17
Masks and Faces,1917,Comedy,5.3,41
Mickey,1918,"Comedy,Drama",6.1,1190
The Million Dollar Dollies,1918,Comedy,6.9,21
Mr. Fix-It,1918,"Comedy,Romance",6.8,120
My Cousin,1918,"Comedy,Drama",6.4,61
Mästerkatten i stövlar,1918,Comedy,4.8,24
Old Wives for New,1918,"Comedy,Crime,Drama",6.2,246
On the Jump,1918,"Comedy,War",4.4,15
On the Quiet,1918,"Comedy,Romance",8.5,35
Opportunity,1918,"Comedy,Drama",6.4,18
Our Mrs. McChesney,1918,"Comedy,Drama",6.0,13
Outwitting the Hun,1918,"Animation,Comedy",6.4,20
A Pair of Silk Stockings,1918,"Comedy,Romance",5.2,529
Pay Day,1918,"Comedy,Drama",6.4,13
Peck's Bad Girl,1918,Comedy,6.8,14
A Petticoat Pilot,1918,"Comedy,Drama",7.4,30
Revolutionens datter,1918,"Comedy,Drama,Romance",5.4,37
Thirty a Week,1918,"Comedy,Drama",4.9,17
Thomas Graals bästa barn,1918,Comedy,6.3,118
To Hell with the Kaiser!,1918,"Comedy,Drama,War",7.8,15
Too Many Millions,1918,"Comedy,Drama",5.3,15
The Venus Model,1918,"Comedy,Romance",7.4,15
We Can't Have Everything,1918,"Comedy,Drama",7.5,17
When Do We Eat?,1918,"Comedy,Drama",6.1,17
A Woman's Fool,1918,"Comedy,Western",4.1,70
All Wrong,1919,Comedy,6.0,15
Anne of Green Gables,1919,"Comedy,Drama",7.0,84
The Oyster Princess,1919,Comedy,7.2,2212
The Best Man,1919,"Adventure,Comedy",5.3,19
Burglar by Proxy,1919,Comedy,5.9,29
"Captain Kidd, Jr.",1919,Comedy,6.9,19
Checkers,1919,"Adventure,Comedy,Drama",5.4,18
The Climbers,1919,"Comedy,Drama",7.1,20
Daddy-Long-Legs,1919,"Comedy,Drama",6.6,1489
A Damsel in Distress,1919,Comedy,6.8,15
The Deadlier Sex,1920,"Comedy,Drama",6.6,35
The Delicious Little Devil,1919,"Comedy,Drama",6.2,925
Don't Change Your Husband,1919,Comedy,6.5,1291
The Dub,1919,"Comedy,Crime",5.2,14
Fair and Warmer,1919,"Comedy,Romance",8.4,14
Ett farligt frieri,1919,Comedy,6.0,54
The Follies Girl,1919,Comedy,4.2,22
Getting Mary Married,1919,Comedy,6.3,254
A Gun Fightin' Gentleman,1919,"Comedy,Crime,Western",4.5,88
Hans nåds testamente,1919,Comedy,6.7,131
Hard Boiled,1919,"Comedy,Drama",7.0,20
Hawthorne of the U.S.A.,1919,"Adventure,Comedy,Romance",5.2,409
Here Comes the Bride,1919,Comedy,7.6,45
His Bridal Night,1919,"Comedy,Romance",7.6,15
"His Majesty, the American",1919,"Adventure,Comedy,Romance",6.1,115
The Hoodlum,1919,Comedy,6.7,1056
I Don't Want to Be a Man,1918,"Comedy,Romance",6.8,1689
In Wrong,1919,"Comedy,Drama",6.3,33
Jinx,1919,"Action,Adventure,Comedy",5.7,36
John Petticoats,1919,"Action,Comedy,Drama",5.2,19
Johnny Get Your Gun,1919,"Comedy,Drama",7.0,37
Jubilo,1919,"Comedy,Drama,Western",6.0,66
The Knickerbocker Buckaroo,1919,"Comedy,Romance,Western",7.0,27
