primaryTitle,startYear,genres,averageRating,numVotes
I Saw Her First,1974,"Comedy,Drama,Romance",5.3,29
World of Geisha,1973,"Comedy,Drama",5.5,178
Young Frankenstein,1974,Comedy,8.0,172529
Zorro,1975,"Action,Adventure,Comedy",6.4,4541
Zwei himmlische Dickschädel,1974,Comedy,4.2,17
Zwei im 7. Himmel,1974,"Comedy,Music,Romance",4.2,28
Ésta que lo es...,1977,Comedy,4.8,53
El último proceso en París,1974,Comedy,5.8,10
Abenteuer mit Blasius,1975,"Comedy,Family,Sci-Fi",5.1,36
Le futur aux trousses,1975,"Comedy,Sci-Fi",5.4,67
92 in the Shade,1975,"Comedy,Drama",6.0,608
The Immortal Bachelor,1975,"Comedy,Drama,Mystery",6.0,447
Aaron Loves Angela,1975,"Comedy,Crime,Drama",5.8,316
Adiós Amigo,1975,"Action,Comedy,Western",4.1,348
La adúltera,1975,Comedy,5.2,19
Adulterio a la española,1976,Comedy,4.8,16
The Adventure of Sherlock Holmes' Smarter Brother,1975,"Comedy,Crime,Music",6.0,7450
Afonya,1975,"Comedy,Drama,Romance",7.8,5076
Alfie Darling,1975,"Comedy,Drama",4.6,430
Alice Goodbody,1974,Comedy,4.3,267
The House of the Dead,1978,"Comedy,Crime,Horror",4.8,1195
All Mixed Up,1975,Comedy,5.1,13
Amici miei,1975,"Comedy,Drama",7.9,8166
Amor casi... libre,1976,Comedy,2.8,12
Amore mio spogliati... che poi ti spiego!,1975,"Comedy,Drama",4.6,28
"Amori, letti e tradimenti",1975,Comedy,3.8,83
Duck in Orange Sauce,1975,Comedy,6.3,689
The Clown,1976,"Comedy,Drama",6.7,163
The Apple Dumpling Gang,1975,"Comedy,Family,Western",6.4,6710
Ar-khi-me-dy!,1975,"Comedy,Music",5.9,37
At Long Last Love,1975,"Comedy,Musical,Romance",5.3,1444
Attenti... arrivano le collegiali!,1975,Comedy,4.3,63
Let's Make a Dirty Movie,1976,Comedy,4.4,158
Auch Mimosen wollen blühen,1976,Comedy,6.8,11
"The White, the Yellow, and the Black",1975,"Adventure,Comedy,Western",5.5,797
The Black Bird,1975,"Adventure,Comedy,Crime",5.4,678
From Hong Kong with Love,1975,Comedy,4.0,296
The Boob Tube,1975,Comedy,4.1,243
The Liberation of Cherry Janowski,1976,"Comedy,Sci-Fi",4.1,142
Boss Nigger,1974,"Comedy,Western",6.3,3009
The Box,1975,Comedy,6.9,40
A Boy and His Dog,1975,"Comedy,Drama,Sci-Fi",6.4,19782
Brannigan,1975,"Action,Comedy,Crime",6.1,6555
Los buenos días perdidos,1975,Comedy,4.5,25
It's Tough for Everybody,1975,Comedy,5.3,141
Heat in the Suburbs,1975,Comedy,5.1,37
Capulina Chisme Caliente,1977,Comedy,4.8,22
Carry on Behind,1975,Comedy,5.6,3042
Carry on Con Men,1975,Comedy,4.8,24
Catherine & Co.,1975,"Comedy,Drama",5.3,238
Dracula in the Provinces,1975,"Comedy,Horror",5.7,317
Tickled Pink,1975,Comedy,4.7,312
Champagner aus dem Knobelbecher,1975,"Comedy,War",4.0,29
Cat and Mouse,1975,"Comedy,Crime,Drama",6.6,473
Chhoti Si Baat,1976,"Comedy,Romance",8.3,4618
Chupke Chupke,1975,"Comedy,Drama,Romance",8.3,13398
"Cry, Onion",1975,"Comedy,Western",5.4,771
Midnight Party,1976,"Comedy,Crime,Drama",4.5,301
La cognatina,1975,Comedy,4.0,44
La Collegiale,1975,Comedy,3.7,156
Colpita da improvviso benessere,1976,"Comedy,Drama",6.5,54
La commessa,1975,Comedy,4.2,47
El compadre más padre,1976,Comedy,5.8,11
Confessions of a Pop Performer,1975,Comedy,4.3,997
The Sex Machine,1975,"Comedy,Sci-Fi",6.0,254
Cooley High,1975,"Comedy,Drama,Romance",7.1,5695
La course à l'échalote,1975,Comedy,6.2,1250
"Cousin, Cousine",1975,"Comedy,Romance",6.7,1833
Crazy Mama,1975,"Action,Comedy,Crime",5.4,1078
Las cuatro novias de Augusto Pérez,1977,"Comedy,Drama",5.3,21
Dog's Heart,1976,"Comedy,Drama,Fantasy",6.6,379
Darktown Strutters,1975,"Action,Comedy,Musical",4.8,540
Death Race 2000,1975,"Action,Comedy,Sci-Fi",6.2,31733
What's Your Sign?,1975,Comedy,5.5,399
Dirty Duck,1974,"Animation,Comedy,Fantasy",5.3,577
Distracted,1970,Comedy,6.2,1742
Doc Savage: The Man of Bronze,1975,"Action,Adventure,Comedy",5.4,2216
Dogpound Shuffle,1975,"Comedy,Drama",6.9,166
The Sweet Aunts,1975,Comedy,4.6,201
Dolemite,1975,"Action,Comedy,Crime",5.6,6980
Don Rickles: Buy This Tape You Hockey Puck,1975,"Comedy,Documentary",6.6,41
The Twelve Tasks of Asterix,1976,"Adventure,Animation,Comedy",7.6,19604
Down Town,1975,"Comedy,Crime",4.7,494
Dr. Minx,1975,"Comedy,Drama",4.3,151
Drei Bayern in Bangkok,1976,Comedy,4.2,125
La dudosa virilidad de Cristóbal,1977,Comedy,4.6,18
Due sul pianerottolo,1976,Comedy,5.5,27
Dva muzi hlásí príchod,1975,Comedy,5.3,52
De dwaze lotgevallen van Sherlock Jones,1975,"Comedy,Crime",3.9,71
Un día con Sergio,1976,Comedy,4.8,32
L'educanda,1975,"Comedy,Romance",5.7,45
Emil and the Piglet,1973,"Comedy,Family",7.2,2959
A Pain in the Ass,1973,Comedy,7.1,3755
Enjoy Longevity 300 Years,1975,Comedy,5.8,6
Ereszd el a szakállamat!,1975,Comedy,7.0,58
The Erotic Adventures of Robinson Crusoe,1976,"Adventure,Comedy,Sci-Fi",4.8,78
El erotismo y la informática,1976,Comedy,3.3,26
Esclava te doy,1976,Comedy,3.8,16
Eskimo Nell,1975,Comedy,4.4,445
The Exorcist: Italian Style,1975,"Comedy,Horror",5.7,527
"Eva, ¿qué hace ese hombre en tu cama?",1975,Comedy,5.5,45
The Goldcabbage Family,1975,"Comedy,Crime",5.9,552
Fanny,1975,"Adult,Comedy",5.1,17
Fantasm,1976,Comedy,4.5,613
Comedie fantastica,1975,"Comedy,Fantasy,Sci-Fi",6.6,90
Female Trouble,1974,"Comedy,Crime",7.1,10813
The Daughter of the Railroad Crossing Guard,1975,Comedy,5.7,35
The Pinchcliffe Grand Prix,1975,"Animation,Comedy,Family",8.4,14509
The Twist,1976,Comedy,4.3,367
Più forte sorelle,1976,"Comedy,Western",3.3,46
Forbidden Tales of Two Cities,1975,"Comedy,Drama",6.1,46
Foreplay,1975,Comedy,3.9,179
The Fortune,1975,"Comedy,Crime,Romance",5.6,3240
The Four Deuces,1975,"Action,Comedy",4.1,271
Las fuerzas vivas,1975,"Action,Comedy,Drama",7.7,67
Funny Lady,1975,"Biography,Comedy,Drama",6.2,6047
Spanish Fury,1975,Comedy,5.1,59
Il gatto mammone,1975,Comedy,5.8,167
"A Genius, Two Partners and a Dupe",1975,"Comedy,Western",6.2,5988
Il giustiziere di mezzogiorno,1975,"Comedy,Crime",6.8,71
Halfon Hill Doesn't Answer,1976,Comedy,7.9,1571
"Give 'em Hell, Harry!",1975,"Biography,Comedy,Drama",7.3,589
Short and Sweet,1976,"Comedy,Crime",6.6,198
Lover Boy,1975,Comedy,4.9,400
The Great MacArthy,1975,"Comedy,Sport",5.3,68
Grey Gardens,1975,"Comedy,Documentary,Drama",7.5,15730
"Guapa, rica y... especial",1976,Comedy,5.0,11
Conjugal Warfare,1974,Comedy,6.8,217
The Happy Hooker,1975,"Biography,Comedy",3.8,900
Hearts of the West,1975,"Comedy,Western",6.5,1804
Happy Days Are Here Again,1975,Comedy,5.7,86
Hera Pheri,1976,"Action,Comedy,Crime",6.6,1149
Jumpin' at the Bedside,1976,Comedy,4.8,203
Hot Dogs on Ibiza,1979,Comedy,3.6,127
How Come Nobody's on Our Side?,1974,Comedy,5.2,53
Wives,1975,"Comedy,Drama",5.8,294
I Wonder Who's Killing Her Now?,1975,"Comedy,Crime",3.5,241
In the Sign of the Gemini,1975,"Adult,Comedy,Drama",5.2,353
The Red Ibis,1975,"Comedy,Crime",5.9,301
Has Anybody Seen My Pants?,1975,Comedy,4.5,105
Imposible para una solterona,1976,"Comedy,Drama",5.1,22
Incorrigible,1975,Comedy,6.5,1861
The School Teacher,1975,Comedy,4.8,940
Inserts,1975,"Comedy,Drama",6.3,2498
Inside Out,1975,"Comedy,Crime,Thriller",5.7,672
L'intrépide,1975,Comedy,4.4,43
It Seemed Like a Good Idea at the Time,1975,Comedy,3.7,415
Ivan da Mariya,1975,"Comedy,Family,Fantasy",6.4,54
"¡Jo, papá!",1975,"Comedy,Drama",6.0,56
Around the World with Fanny Hill,1974,Comedy,4.6,188
Justine & Juliette,1975,"Adult,Comedy",5.1,257
Karlsson on the Roof,1974,"Comedy,Family,Fantasy",5.8,2240
Khel Khel Mein,1975,"Comedy,Mystery,Romance",7.2,425
A Guy and a Gal,1975,"Comedy,Romance",5.7,504
"Kilma, reina de las amazonas",1976,"Action,Adventure,Comedy",4.7,94
Klop 75 ili Mayakovskiy smeyotsya,1976,"Animation,Comedy,Music",5.9,54
Kom till Casino!,1975,Comedy,6.0,29
Ta mej i dalen,1977,"Adult,Comedy,Drama",4.5,81
Let's Do It Again,1975,"Action,Comedy,Crime",6.7,3415
The Private Lesson,1975,Comedy,4.8,475
The Book of Good Love 2,1976,"Adventure,Comedy,Drama",3.8,35
The Teasers,1975,Comedy,4.6,824
Liebesfallen,1976,Comedy,6.2,14
Ligeramente viudas,1976,Comedy,3.3,20
Lions for Breakfast,1975,Comedy,5.3,29
Lisztomania,1975,"Biography,Comedy,Music",6.1,3192
Little Adventurer,1973,"Comedy,Family",7.0,25
Murph the Surf,1975,"Biography,Comedy,Crime",6.1,251
Love and Death,1975,"Comedy,War",7.6,41691
The Loves and Times of Scaramouche,1976,Comedy,4.0,166
Lucky Lady,1975,"Comedy,Crime,Drama",5.3,1373
Un lujo a su alcance,1975,Comedy,4.2,45
Lunatics and Lovers,1976,Comedy,5.7,144
La madama,1976,Comedy,5.8,34
"Madrid, Costa Fleming",1976,Comedy,4.4,22
Bad Starters,1976,"Comedy,Drama,Romance",6.2,61
A Virgin Named Mary,1975,"Comedy,Drama",7.5,50
Maten al león,1977,"Adventure,Comedy,Drama",7.2,64
Mayordomo para todo,1976,Comedy,4.2,37
Mein Onkel Theodor oder Wie man viel Geld im Schlaf verdient,1975,Comedy,6.1,25
Don't Worry Too Much,1975,Comedy,5.3,31
Menyayu sobaku na parovoz,1976,"Comedy,Family",6.0,26
The Man Who Couldn't Say No,1975,"Comedy,Romance",6.7,378
Valentina ...The Virgin Wife,1975,Comedy,5.1,408
"Don't Bite, We Love You",1976,"Comedy,Drama,Family",6.1,87
The Suspicious Death of a Minor,1975,"Action,Comedy,Crime",6.5,1848
Spanish Fly,1976,Comedy,4.6,354
La mujer es cosa de hombres,1975,Comedy,4.2,26
Mule Feathers,1978,"Comedy,Western",5.7,61
Le mâle du siècle,1975,Comedy,4.5,67
Come to My Bedside,1975,"Adult,Comedy",5.0,267
"México, México, ra ra ra",1976,"Comedy,Crime,Drama",6.8,54
Naked Came the Stranger,1975,"Adult,Comedy,Drama",6.1,262
Nashville,1975,"Comedy,Drama,Music",7.6,29246
It Can't Be!,1975,"Comedy,Drama,Musical",7.7,2367
No quiero perder la honra,1975,Comedy,3.9,25
We Are No Angels,1975,"Comedy,Western",5.8,76
"Nosotros, los decentes",1976,Comedy,4.5,44
The Novice,1975,Comedy,4.2,160
Nøglehullet,1974,"Adult,Comedy",4.3,80
Obrazki z zycia,1976,"Comedy,Drama",5.7,66
Obsesión,1977,Comedy,5.6,32
Odinnadtsat nadezhd,1976,"Comedy,Sport",5.6,142
The Olsen Gang on the Track,1975,"Comedy,Crime,Family",7.2,2222
Olvida los tambores,1975,Comedy,3.8,20
Operation Lady Marlene,1975,"Comedy,War",4.6,200
"Tora-san, the Intellectual",1975,Comedy,6.8,101
Tora-san's Rise and Fall,1975,Comedy,7.0,137
Brødrene på Uglegaarden,1967,"Comedy,Drama,Family",5.2,131
"Pacho, hybský zbojník",1976,Comedy,7.9,434
The Boss and the Worker,1975,Comedy,6.0,147
Pantaleon,1976,"Comedy,Drama",5.9,93
Pas de problème!,1975,"Action,Comedy,Thriller",6.3,439
"Country, S.A.",1975,Comedy,4.4,20
Los pecados de una chica casi decente,1975,Comedy,5.1,79
Scandal in the Family,1975,"Comedy,Drama",4.8,210
Peeper,1975,"Comedy,Crime,Mystery",5.6,950
Flatfoot in Hong Kong,1975,"Action,Comedy,Crime",6.4,3658
Girls at Arms,1975,Comedy,5.9,670
La poliziotta fa carriera,1976,Comedy,4.9,284
Professori Uuno D.G. Turhapuro,1975,Comedy,5.8,805
Gun Moll,1975,Comedy,5.5,374
"Quant'è bella la Bernarda, tutta nera, tutta calda",1975,Comedy,4.6,22
Blonde in Black Leather,1975,"Comedy,Drama,Thriller",5.5,251
Rafferty and the Gold Dust Twins,1975,"Comedy,Drama",6.4,634
Rancho Deluxe,1975,"Comedy,Romance,Western",6.3,2212
The Rocky Horror Picture Show,1975,"Comedy,Horror,Musical",7.4,171515
Rolls Royce Baby,1975,"Adult,Comedy",4.5,483
The Romantic Englishwoman,1975,"Comedy,Drama,Romance",6.1,1522
Bedtime with Rosie,1975,Comedy,4.9,17
Royal Flash,1975,"Adventure,Comedy,History",6.3,2326
Samad Becomes Fortunate,1975,Comedy,6.7,322
Sanyasi,1975,"Comedy,Drama",6.8,80
Le Sauvage,1975,"Adventure,Comedy,Drama",6.5,2187
Varsity Playthings,1975,"Comedy,Drama,Romance",3.9,233
El secreto inconfesable de un chico bien,1976,Comedy,4.3,35
Dream of Zorro,1975,"Adventure,Comedy,Western",5.3,38
Sensations,1975,"Adult,Comedy,Drama",6.1,238
El sexo ataca (1ª jornada),1979,Comedy,3.5,24
The Girl from Starship Venus,1975,"Comedy,Horror,Sci-Fi",4.5,289
El señor está servido,1976,Comedy,3.7,51
Tarzoon: Shame of the Jungle,1975,"Adventure,Animation,Comedy",5.0,1417
Shampoo,1975,"Comedy,Drama",6.4,14653
Sheila Levine Is Dead and Living in New York,1975,Comedy,6.5,336
The Spiritual Boxer,1975,"Action,Comedy,Drama",6.6,339
Shi san bu da,1975,Comedy,6.9,11
The Boss's Head,1975,"Action,Comedy,Crime",7.2,367
Sholay,1975,"Action,Adventure,Comedy",8.1,59749
Convoy Buddies,1975,"Action,Comedy,Crime",6.1,228
Sixpack Annie,1975,"Action,Adventure,Comedy",4.2,344
The Sky's the Limit,1975,"Adventure,Comedy,Family",7.6,60
Release the Prisoners to Spring,1975,"Comedy,Family",6.2,1319
Smile,1975,Comedy,7.1,2619
Soldier of Fortune,1976,"Action,Adventure,Comedy",6.2,2145
Cirkus v cirkuse,1975,"Comedy,Family",5.7,111
Las sorpresas,1975,"Comedy,Drama",5.9,9
Ghost Train,1976,"Comedy,Family,Horror",5.0,183
The Strongest Man in the World,1975,"Comedy,Family,Sci-Fi",5.9,3819
The Sunshine Boys,1975,Comedy,7.1,6888
Supercock,1975,"Comedy,Drama",5.3,99
Supervixens,1975,Comedy,5.9,5176
La supplente,1975,Comedy,4.7,84
The Son from Vingaarden,1975,"Comedy,Family",4.5,158
Das Tal der tanzenden Witwen,1975,"Comedy,Western",5.3,24
Teenage Hustler,1976,"Adult,Comedy",5.5,34
The Big Scare,1974,"Comedy,Fantasy,Horror",3.6,277
Terapia al desnudo,1975,"Comedy,Romance",3.4,19
That Lucky Touch,1975,Comedy,4.8,393
That's Adultery!,1975,"Comedy,Romance",6.4,74
Super Stooges vs the Wonder Women,1974,"Action,Adventure,Comedy",4.5,391
Thundercrack!,1975,"Adult,Comedy,Horror",6.0,919
Tiempos duros para Drácula,1976,"Comedy,Horror",5.4,39
Trapito,1975,"Adventure,Animation,Comedy",7.3,306
Swept Away,1974,"Adventure,Comedy,Drama",7.5,6954
Tres suecas para tres Rodríguez,1975,Comedy,4.1,54
The Magic Flute,1975,"Comedy,Fantasy,Music",7.5,5385
The True Way,1973,"Adult,Comedy",5.2,19
Two Con Men,1975,Comedy,5.7,23
The Pink Telephone,1975,"Comedy,Drama,Romance",5.3,255
"Uncle, Are You Really Coming from Paris?",1977,Comedy,5.0,53
The Ups and Downs of a Handyman,1975,Comedy,4.3,273
Urodziny Matyldy,1975,"Comedy,Drama",4.1,15
Diamond Pedlars,1976,Comedy,6.4,179
Vida íntima de un seductor cínico,1975,Comedy,5.5,19
The Family Vice,1975,Comedy,5.1,355
Vkus khalvy,1975,"Adventure,Comedy,Family",4.7,30
"Vuelve, querida Nati",1976,Comedy,4.4,22
Les vécés étaient fermés de l'intérieur,1976,"Comedy,Crime",5.3,541
W.W. and the Dixie Dancekings,1975,Comedy,5.9,1087
I Am a Cat,1975,"Comedy,Drama",6.6,265
Whiffs,1975,"Comedy,Crime",4.5,261
White House Madness,1975,Comedy,5.1,50
The Wild Party,1975,"Comedy,Drama",5.3,832
Vilna zona,1975,Comedy,7.6,232
Xala,1975,"Comedy,Drama",6.7,2035
Yo soy Fulana de Tal,1975,"Comedy,Drama",3.3,34
Zimmermädchen machen es gern,1975,"Adult,Comedy",5.8,135
A Piano in Mid Air,1976,"Comedy,Drama",6.1,26
Zorrita Martínez,1975,"Comedy,Drama",4.5,33
Zwaarmoedige verhalen voor bij de centrale verwarming,1975,"Comedy,Drama",7.3,90
Zwei Rebläuse auf dem Weg zur Loreley,1974,"Comedy,Music",4.0,61
The Three Superguys,1975,"Action,Adventure,Comedy",3.8,38
La pazienza ha un limite... noi no!,1974,"Comedy,Western",3.8,34
I'm a Woman Already,1975,"Comedy,Drama",5.6,35
Let's Get Those English Girls,1976,"Comedy,Romance",5.3,597
The Softening of the Egg,1975,Comedy,6.2,1104
A mí qué me importa que explote Miami,1976,Comedy,6.7,7
Sex with a Smile,1976,Comedy,5.2,509
"A la legión le gustan las mujeres... y a las mujeres, les gusta la legión",1976,Comedy,3.4,40
The Adolescent,1976,Comedy,6.1,128
Adventures of a Taxi Driver,1976,"Comedy,Crime",4.4,913
L'affittacamere,1976,Comedy,4.8,180
The Moelleby Affair,1976,"Comedy,Family",5.3,139
Who's Afraid of Zorro,1975,"Adventure,Comedy,Western",5.7,63
The Wing or The Thigh?,1976,"Comedy,Family",7.2,12628
"Al fin solos, pero...",1977,"Comedy,Musical",5.1,16
Alcalde por elección,1976,Comedy,4.6,49
El alegre divorciado,1976,"Comedy,Drama",4.6,191
Las alegres chicas de 'El Molino',1977,"Comedy,Musical",5.1,26
Alex & the Gypsy,1976,"Comedy,Romance",5.1,276
Alice in Wonderland: An X-Rated Musical Fantasy,1976,"Adult,Comedy,Fantasy",6.2,3222
Allegro non troppo,1976,"Animation,Comedy,Fantasy",7.4,3268
La amante perfecta,1976,"Comedy,Drama",4.7,29
The Amazing Dobermans,1976,"Comedy,Crime,Family",5.1,445
American Tickler,1977,Comedy,3.8,69
Un amore targato Forlì,1976,Comedy,4.1,13
The Amorous Adventures of Don Quixote and Sancho Panza,1976,"Comedy,Musical",4.3,85
The Anchorite,1976,"Comedy,Drama",6.8,220
Andréa,1976,"Comedy,Romance",6.8,19
Angel City,1977,Comedy,6.1,81
Holy Year,1976,"Comedy,Crime",6.3,520
Apple Pie,1975,Comedy,5.0,158
Small Change,1976,"Comedy,Drama",7.6,6520
Antonio e Placido - Attenti ragazzi... chi rompe paga,1975,"Action,Comedy",5.1,43
La aventura explosiva,1977,"Action,Adventure,Comedy",4.5,26
The Bad News Bears,1976,"Comedy,Drama,Family",7.3,25737
The Private Eyes,1976,Comedy,7.0,919
La banca di Monate,1976,Comedy,6.6,36
The Bawdy Adventures of Tom Jones,1976,Comedy,4.4,181
Beautiful Troubles!,1976,"Comedy,Romance",6.2,34
Bel Ami,1976,"Adult,Comedy",5.0,159
Una bella governante di colore,1976,Comedy,4.4,47
El bengador Gusticiero y su pastelera madre,1977,Comedy,3.6,35
The Big Bus,1976,"Action,Comedy",5.6,3815
The Bingo Long Traveling All-Stars & Motor Kings,1976,"Comedy,Sport",6.8,2391
Black Shampoo,1976,"Action,Comedy,Crime",4.7,1017
Blind Is Beautiful,1976,"Comedy,Crime,Drama",5.2,32
Bomber & Paganini,1976,Comedy,6.6,136
Flaming Fire Chief,1976,"Comedy,Family",3.1,155
Burnt by a Scalding Passion,1976,Comedy,5.9,82
"¡Bruja, más que bruja!",1977,"Comedy,Drama,Musical",6.1,152
Brunet wieczorowa pora,1976,"Comedy,Thriller",7.4,1652
"Ugly, Dirty and Bad",1976,"Comedy,Drama",7.7,9273
"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",1976,"Comedy,Drama,Western",6.1,5423
Bugsy Malone,1976,"Comedy,Crime,Family",6.8,19866
La cameriera nera,1976,"Comedy,Romance",5.3,59
La campagnola bella,1976,"Comedy,Romance",4.3,32
Cannonball!,1976,"Action,Comedy,Crime",5.5,5364
Caperucita y Roja,1977,Comedy,3.4,18
Car Wash,1976,"Comedy,Drama,Romance",6.2,8478
Cara dolce nipote,1977,Comedy,4.3,148
Caro Michele,1976,"Comedy,Drama",6.4,251
Carry on England,1976,"Comedy,War",4.0,2266
Some Like It Cool,1977,Comedy,4.6,507
Cassiodoro il più duro del pretorio,1976,Comedy,5.5,16
Cattivi pensieri,1976,Comedy,5.4,322
The Three Superboys in the Snow,1977,"Action,Adventure,Comedy",6.8,432
Che dottoressa ragazzi!,1976,Comedy,4.3,126
Cherry Hill High,1977,Comedy,4.0,176
Chesty Anderson U.S. Navy,1976,Comedy,4.1,173
Chi dice donna dice donna,1976,Comedy,5.1,38
El chiste,1976,Comedy,3.6,10
Classe mista,1976,Comedy,4.6,161
La clinica dell'amore,1976,"Comedy,Romance",5.0,30
Clockwork Bananas,1974,Comedy,5.5,80
And They Lived Happily Ever After,1976,Comedy,5.1,42
Pure as a Lily,1976,"Comedy,Crime",4.6,151
Solemn Communion,1977,"Comedy,Drama",6.1,98
Il compromesso... erotico (Menage a quattro),1976,Comedy,4.6,25
Il comune senso del pudore,1976,Comedy,6.0,333
Confessions of a Driving Instructor,1976,Comedy,4.5,1154
How About a Plate of Spinach?,1977,"Comedy,Sci-Fi",7.0,800
Crazy Sex,1976,"Comedy,Crime",5.6,71
Cuando los maridos se iban a la guerra,1976,"Comedy,History",4.5,20
"Cuginetta, amore mio!",1976,Comedy,5.7,62
Beach Guard in Winter,1976,"Comedy,Drama",7.2,761
Shao Lin Kung-Fu Mystagogue,1976,"Action,Comedy,Drama",5.9,146
Las delicias de los verdes años,1976,Comedy,3.7,28
Den 'k---' släkten,1976,"Adult,Comedy",5.0,61
Deseo,1976,Comedy,4.5,29
A Dirty Knight's Work,1976,"Action,Adventure,Comedy",5.2,262
Dis bonjour à la dame!..,1977,Comedy,5.0,28
Don's Party,1976,"Comedy,Drama",6.8,1597
The Sunday Woman,1975,"Comedy,Crime,Mystery",6.6,1357
Dos chicas de revista,1972,"Comedy,Musical",5.7,92
La dottoressa del distretto militare,1976,Comedy,4.3,343
Under the Sheets,1976,Comedy,4.7,102
Drive-In,1976,Comedy,6.2,620
The Duchess and the Dirtwater Fox,1976,"Comedy,Western",5.7,2052
Crime Busters,1977,"Action,Adventure,Comedy",7.1,13112
Tea for Three,1976,Comedy,4.8,17
Dulscy,1976,Comedy,5.2,20
Eat My Dust,1976,"Action,Comedy,Romance",5.4,1060
Eliza Fraser,1976,"Adventure,Comedy,Drama",5.7,222
Ellas los prefieren... locas,1976,Comedy,4.6,34
Emperor Chien Lung,1976,Comedy,6.5,29
En esta primavera,1979,"Comedy,Drama,Musical",6.0,29
"Eva, limpia como los chorros del oro",1977,Comedy,5.5,18
F... comme Fairbanks,1976,"Comedy,Drama",6.6,315
The Goldcabbage Family Breaks the Bank,1976,"Comedy,Family",5.4,300
Family Plot,1976,"Comedy,Crime,Drama",6.8,25346
Fantasma en el Oeste,1978,"Action,Comedy,Western",4.1,84
Horse Fever,1976,Comedy,7.3,2303
Femmes Fatales,1976,Comedy,6.4,1509
La figliastra (Storia di corna e di passione),1976,"Adventure,Comedy,Romance",4.8,103
Find the Lady,1976,Comedy,4.1,405
The First Nudie Musical,1976,"Comedy,Musical",5.3,948
The Smurfs and the Magic Flute,1976,"Animation,Comedy,Family",5.9,1509
Frittata all'italiana,1976,Comedy,3.3,14
Fulanita y sus menganos,1976,Comedy,4.1,20
Der Geheimnisträger,1975,Comedy,6.6,14
Get Mean,1975,"Action,Adventure,Comedy",4.4,516
Giovannino,1976,Comedy,6.9,20
Gizmo!,1977,"Comedy,Documentary",7.7,462
The Big Operator,1976,Comedy,5.3,271
The Great Scout & Cathouse Thursday,1976,"Comedy,Western",6.1,1741
The Great Smokey Roadblock,1977,"Comedy,Drama",5.1,635
The Fruit Is Ripe,1977,"Comedy,Romance",5.4,643
The Gumball Rally,1976,Comedy,6.2,4584
Gus,1976,"Comedy,Family,Sport",5.7,2217
Half a House,1975,Comedy,4.1,68
Harry and Walter Go to New York,1976,"Comedy,Crime",5.4,1247
Hasta que el matrimonio nos separe,1977,Comedy,5.2,44
Hawmps!,1976,"Comedy,Family,Western",5.4,387
Haz la loca... no la guerra,1976,Comedy,3.7,32
Historias de amor y masacre,1979,"Animation,Comedy",5.9,27
Hollywood Boulevard,1976,"Comedy,Thriller",5.9,1564
Men Only Think of That,1976,Comedy,6.6,83
Almost King,1977,"Comedy,Fantasy",6.5,327
Hot Potato,1976,"Action,Comedy,Drama",3.8,461
Hra o jablko,1977,"Comedy,Drama",6.9,312
The Human Tornado,1976,"Action,Comedy,Drama",6.0,2013
I Will... I Will... For Now,1976,"Comedy,Romance",4.8,276
In the Sign of the Lion,1976,"Adult,Comedy,Romance",5.6,379
Batton Story,1976,"Comedy,Drama",4.7,39
The Sensuous Nurse,1975,Comedy,4.8,860
Daphnis and Chloe,1976,Comedy,4.9,21
Intimate Games,1976,"Comedy,Romance",4.8,283
L'Italia s'è rotta,1976,Comedy,6.0,90
The Toy,1976,"Comedy,Drama",7.4,6545
The Office Party,1976,Comedy,5.9,398
The Sword,1977,Comedy,7.3,37
Keep It Up Downstairs,1976,Comedy,3.8,217
Kenny & Company,1976,"Comedy,Drama",7.1,844
The Phantom on Horseback,1976,"Adventure,Comedy,Crime",6.9,86
Kuni Leml in Tel Aviv,1976,"Comedy,Musical",7.2,38
"Languid Kisses, Wet Caresses",1976,"Comedy,Romance",6.5,36
Let My Puppets Come,1976,"Adult,Comedy,Musical",5.0,305
Summer with a Cowboy,1976,"Comedy,Romance",6.7,230
Il letto in piazza,1976,"Comedy,Romance",4.9,49
The Likely Lads,1976,Comedy,6.6,1286
Linda Lovelace for President,1975,Comedy,4.2,395
Little Orphan Sammy,1977,"Adult,Comedy",5.3,62
Olympian Holiday,1976,"Comedy,Romance",6.5,430
Lottovoittaja UKK Turhapuro,1976,Comedy,6.1,956
Love Swindler,1976,"Comedy,Romance",6.2,46
La lozana andaluza,1976,"Comedy,Drama,History",4.9,78
Luna di miele in tre,1976,Comedy,5.4,218
Makarras Conexion,1977,Comedy,3.7,9
Man Friday,1975,"Adventure,Comedy,Drama",6.2,1112
"Marecek, Pass Me the Pen!",1976,Comedy,8.1,2344
Mastermind,1976,"Comedy,Thriller",4.6,167
"Mauricio, mon amour",1976,Comedy,3.5,34
My First Sin,1977,"Comedy,Drama",5.5,59
Mimì Bluette... fiore del mio giardino,1976,"Comedy,Romance",5.7,62
MitGift,1976,"Comedy,Crime",6.0,62
Mon coeur est rouge,1976,"Comedy,Drama",6.6,61
Monsieur Albert,1976,"Comedy,Drama",7.2,14
"Mother, Jugs & Speed",1976,"Comedy,Drama",5.9,3432
Moving Violation,1976,"Comedy,Crime,Drama",5.5,432
La mujer es un buen negocio,1977,"Comedy,Musical",5.4,37
Murder by Death,1976,"Comedy,Crime,Mystery",7.3,42902
